iter	Passed	Remaining
0	1	252
1	1	226
2	2	213
3	3	207
4	4	202
5	5	200
6	5	199
7	6	196
8	7	194
9	8	192
10	9	190
11	9	189
12	10	187
13	11	186
14	12	185
15	13	184
16	14	184
17	14	184
18	15	182
19	16	181
20	17	180
21	18	179
22	18	177
23	19	177
24	20	176
25	21	175
26	22	174
27	22	172
28	23	171
29	24	170
30	25	169
31	26	169
32	26	168
33	27	167
34	28	166
35	29	166
36	30	166
37	31	165
38	31	164
39	32	163
40	33	163
41	34	162
42	35	161
43	36	160
44	37	160
45	37	159
46	38	158
47	39	157
48	40	156
49	41	156
50	41	155
51	43	155
52	44	157
53	45	156
54	46	156
55	47	155
56	48	155
57	49	154
58	49	153
59	50	152
60	51	152
61	52	150
62	53	149
63	54	148
64	54	147
65	55	146
66	56	145
67	57	144
68	57	143
69	59	143
70	60	142
71	60	142
72	61	141
73	62	140
74	63	139
75	64	139
76	65	138
77	66	137
78	67	136
79	67	135
80	68	134
81	69	133
82	70	132
83	70	131
84	71	130
85	72	129
86	73	129
87	74	128
88	75	127
89	76	127
90	77	126
91	77	125
92	78	124
93	79	123
94	80	122
95	80	121
96	82	120
97	82	120
98	83	119
99	84	118
100	85	117
101	86	116
102	87	115
103	88	115
104	88	114
105	89	113
106	90	113
107	91	112
108	92	111
109	93	110
110	94	109
111	95	108
112	96	107
113	97	107
114	97	106
115	98	105
116	99	104
117	100	103
118	101	102
119	102	102
120	102	101
121	103	100
122	104	99
123	105	98
124	106	98
125	107	97
126	108	96
127	109	95
128	109	94
129	110	93
130	111	92
131	112	92
132	113	91
133	114	90
134	114	89
135	115	88
136	116	87
137	117	86
138	118	85
139	119	85
140	120	84
141	121	84
142	122	83
143	123	82
144	124	81
145	125	80
146	126	79
147	127	79
148	128	78
149	128	77
150	129	76
151	130	75
152	131	74
153	131	73
154	133	73
155	133	72
156	134	71
157	135	70
158	136	69
159	137	68
160	138	67
161	139	67
162	140	66
163	141	65
164	142	64
165	143	63
166	143	62
167	144	61
168	145	61
169	146	60
170	147	59
171	147	58
172	148	57
173	149	56
174	150	55
175	151	55
176	152	54
177	152	53
178	153	52
179	154	51
180	155	50
181	156	49
182	157	48
183	157	48
184	158	47
185	159	46
186	160	45
187	161	44
188	161	43
189	162	42
190	163	41
191	164	41
192	165	40
193	165	39
194	166	38
195	167	37
196	168	36
197	169	35
198	170	35
199	171	34
200	172	33
201	173	32
202	174	31
203	175	30
204	176	30
205	177	29
206	177	28
207	178	27
208	179	26
209	180	25
210	181	24
211	182	24
212	183	23
213	184	22
214	185	21
215	185	20
216	186	19
217	187	18
218	188	18
219	189	17
220	190	16
221	191	15
222	191	14
223	192	13
224	193	12
225	194	12
226	195	11
227	196	10
228	197	9
229	198	8
230	199	7
231	199	6
232	200	6
233	201	5
234	202	4
235	204	3
236	205	2
237	206	1
238	206	0
239	207	0
